Ticker,GHG Emissions,Air Quality,Energy Management,Water & Wastewater Management,Waste & Hazardous Materials Management,Ecological Impacts,Human Rights & Community Relations,Customer Privacy,Data Security,Access & Affordability,Product Quality & Safety,Customer Welfare,Selling Practices & Product Labeling,Labour Practices,Employee Health & Safety,"Employee Engagement, Diversity & Inclusion",Product Design & Lifecycle Management,Business Model Resilience,Supply Chain Management,Materials Sourcing & Efficiency,Physical Impacts of Climate Change,Business Ethics,Competitive Behaviour,Management of the Legal & Regulatory Environment,Critical Incident Risk Management,Systemic Risk Management
BHARTI,,,1,,,,,1,1,,,,,,,,,,,1,,,1,,,1
ZOMATO,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,
INFOE,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,
AGS,1,1,1,1,1,1,1,,,,,,,1,1,,,,,,,1,,,1,
8071,,,,,,,,,1,,,,,,,1,1,,1,1,,,,,,
SUNTV,,,,,,,,,,,,1,1,,,,,,,,,,1,,,
AFFLE,,,,,,,,1,,,,,1,,,1,,,,,,,,,,
TTLS,,,1,,,,,1,1,,,,,,,,,,,1,,,1,,,1
Z,,,,,,,,,,,,1,1,,,,,,,,,,1,,,
RAILTEL,,,1,,,,,1,1,,,,,,,,,,,1,,,1,,,1
NSG,,,1,,,,,,1,,,,,1,,1,1,,,,,,,,,
251270,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
ALAMAR,,,1,1,1,,,,,,1,1,,1,,,,,1,,,,,,,
EASEMYTR,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,
JUST,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
WRLS,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,
TIPSMUSI,,,,,,,,,,,,,,,,,,,,,,,,,,
NAZARA,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
DBCL,,,,,,,,,,,,1,1,,,,,,,,,,1,,,
3662,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
BRK/A,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1
CNLI,,,1,,,,,,,,1,,,,1,,,,,,,,,,,
DITV,,,1,,,,,1,1,,,,,,,,,,,1,,,1,,,1
CARTRADE,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,
PRIF,,,,,,,,,,,,1,1,,,,,,,,,,1,,,
ALEXSC,,,1,,,,,,1,,,,,1,,1,1,,,,,,,,,
PRAVEG,,,,,,,,,,,,,,,,,,,,,,,,,,
138SL,,,,,,,,,,,,,,,,,1,,,,,1,,,,
YATRA,,,1,1,,,,,,,,,,,,,1,,,,1,,,,,
JAGP,,,,,,,,,,,,1,1,,,,,,,,,,1,,,
OPIL,,,1,,,,,1,1,,,,,,,,,,,1,,,1,,,1
MTNL,,,1,,,,,1,1,,,,,,,,,,,1,,,1,,,1
3996,,,,,,,,,1,,,,,,,1,,,,,,1,,,,
GTPL,,,1,,,,,1,1,,,,,,,,,,,1,,,1,,,1
DANGFLOU,1,,1,1,,,,,,,1,,,,1,,,,1,1,,,,,,
MSIL,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,
ATANA,,,,,,,,,,1,1,,1,,,,1,,1,,,1,,,,
TTMT,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,
BJAUT,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,
MM,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,
NTGAZ,,,,,,,,,,1,,,,,,,,1,,,,,,,1,
6156,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
TVSL,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,
HMCL,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,
ADAPRA,,,1,,,,,,,,1,,,,1,,,,,,,,,,,
IH,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
MSS,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
MRCO,,,,1,,,,,,,1,,,,,,1,,1,,,,,,,
MRFG3,1,,1,1,,1,,,,,1,1,,,1,,1,,1,1,,,,,,
NYKAA,,,1,,,,,1,1,,,,,,,1,1,,,,,,,,,
MOBIL,1,1,,1,1,,,,,,,,,,1,,1,,,,,,1,1,1,
KALYANKJ,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
SONACOMS,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
KPITTECH,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
UNOMINDA,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGCC,1,,1,1,,,,,,,1,,,,1,,,,1,1,,,,,,
TTMT/A,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,
METROBRA,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
ANAB,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
ELKRRA,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
MSUMI,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
ZCVCS,,,,,,,,,,,,,,,,,,,,,,,,,,
KPR,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
600538,1,1,1,1,1,,1,,,,,,,,1,,1,,,,,,,1,1,
EGEEN,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
MANYAVAR,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
JBMA,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
ABC,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
ABFRL,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
RLXF,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
JRELTD,,,,,,,,,,,1,,,,,,,,1,,,,,,,
KJC,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,
ABAVP,1,,1,1,,1,,,,,1,1,,,1,,1,,1,1,,,,,,
CIEINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
TVSHLTD,,,,,,,,,,,,,,,,,,,,,,,,,,
INMART,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
600172,1,1,1,1,1,,1,,,,,,,,1,,1,,,,,,,1,1,
ARENM,,,,,,,,,,,,,,,,,,,,,,,,,,
WELSPUNL,,,,,,,,,,,,,,,,,,,,,,,,,,
HONASA,,,,1,,,,,,,1,,,,,,1,,1,,,,,,,
PVRINOX,,,,,,,,,,,,,,,,,,,,,,,,,,
AISG,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
VTEX,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
ALOK,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
WLDL,,,1,1,1,,,,,,1,1,,1,,,,,1,,,,,,,
FHW,1,1,,1,1,,,,,1,,,,,1,,,1,,,,,,,1,1
RW,,,,,,,,,,,,,,,,,1,,,,,1,,,,
JUNIPER,,,1,1,,1,,,,,,,,1,,,,,,,1,,,,,
JKI,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
CEAT,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
BJE,,,,,,,,,,,1,,,,,,1,,,,,,,,,
LEMONTRE,,,1,1,,1,,,,,,,,1,,,,,,,1,,,,,
159010,,,,,,,,,1,,,,,,,1,1,,1,1,,,,,,
ASAME,1,,1,1,,1,,,,,1,1,,,1,,1,,1,1,,,,,,
71M,,,1,,,,,1,1,,,,,,,1,1,,,,,,,,,
MMTC,,,,,,,,,,1,1,,1,,,,1,,1,,,1,,,,
FML,1,,1,1,,1,,,,,1,1,,,1,,1,,1,1,,,,,,
DOMS,,,,1,,,,,,,1,,,,,,1,,1,,,,,,,
TTKPT,,,,1,,,,,,,1,,,,,,1,,1,,,,,,,
CRAFTSMA,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
REDTAPE,,,,,,,,,,,,,,,,,,,,,,,,,,
2CRSI,,,,,,,,,1,,,,,,,1,1,,1,1,,,,,,
ALDV,,,,,,,,,,,,,,,,,1,,,,,1,,,,
HAPPYFOR,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
THDS,,,,,,,,1,,,,,1,,,1,,,,,,,,,,
MHSC,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,
MHRL,,,1,1,,1,,,,,,,,1,,,,,,,1,,,,,
TC,1,1,1,1,1,1,,,,,,,,,1,,1,,,,,,1,,,
RJEX,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
VARROC,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
ENVI,1,1,,,1,,,,,,,,,1,1,,,1,,,,,,,,
CMNT,1,1,1,1,1,1,,,,,,,,,1,,1,,,,,,1,,,
ARVND,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
ENTRA,,,1,1,1,1,,,,,,,,,,,1,,,1,,,,,,
NIITMTS,,,,,,,,,,,,,,,,,,,,,,,,,,
GTFL,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
ACC,,,1,1,,,,,,,,,,,,,1,,,,1,,,,,
BORORENE,,,,,,,,,,,,,,,,,,,,,,,,,,
GOCOLORS,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
ETHOSLTD,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
JINW,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
PDSL,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
IFBI,,,,,,,,,,,1,,,,,,1,,,,,,,,,
VGM,1,1,,,,,,,,,,,,1,1,,,,1,,,,,,1,
ARVINDFA,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
SENCO,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
SYML,,,1,1,,,,,,,,,,,,,1,,,,1,,,,,
140910,,,1,1,,,,,,,,,,,,,1,,,,1,,,,,
ASKAUTOL,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
WONH,,,1,,,,,,,,1,,,,1,,,,,,,,,,,
SGMART,,,,,,,,,,,,,,,,,,,,,,,,,,
ITDC,,,1,1,,1,,,,,,,,1,,,,,,,1,,,,,
JMNA,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
DYTC,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
3467,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,
DAD,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,
ROLEXRIN,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
PRICOL,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
GEXP,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
6473,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
VMART,,,1,,,,,,1,,,,,1,,1,1,,,,,,,,,
KEKC,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
BOROLTD,,,,1,,,,,,,1,,,,,,1,,1,,,,,,,
PARKHOTE,,,1,1,,1,,,,,,,,1,,,,,,,1,,,,,
AMOR,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,
IMAGICAA,,,,,,,,,,,,,,,,,,,,,,,,,,
TJL,,,1,1,,,,,,,,,,,,,1,,,,1,,,,,
KPDL,,,1,1,,,,,,,,,,,,,1,,,,1,,,,,
brad,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
SUBR,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
LMAX,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
BD,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
4609,,,,,,,,,,,1,,,,,,1,,,,,,,,,
BKHAU,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,
SANDHAR,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
KDDL,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
LIK,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
KTI,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,
FIEM,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
SRTY,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
NINE,1,1,1,1,1,1,1,,,,,,,1,1,,,,,,,1,,,1,
GRV,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
DG,,,1,,,,,,1,,,,,1,,1,1,,,,,,,,,
SUNCLAY,,,,,,,,,,,,,,,,,,,,,,,,,,
BLSE,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
ASAB,,,1,1,1,1,,,,,,,,,,,1,,,1,,,,,,
HINDWARE,,,,,,,,,,,,,,,,,,,,,,,,,,
ATXL,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
FLAIR,,,,1,,,,,,,1,,,,,,1,,1,,,,,,,
CARYSIL,,,,,,,,,,,,,,,,,,,,,,,,,,
FLTX,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
DREAMFOL,,,,,,,,,1,,,,,,,1,,,,,,1,,,,
NILK,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,
GDYR,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
PCJL,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
GNPL,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
TAJG,,,1,1,,1,,,,,,,,1,,,,,,,1,,,,,
SOMC,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,
PGIL,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
DIVGIITT,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
OAH,,,1,1,,1,,,,,,,,1,,,,,,,1,,,,,
LUMX,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
SNGM,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
TCNSBR,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
AOTHAIM,,,1,,,,,,1,,,,,1,,1,1,,,,,,,,,
ONE,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
ASIY,,,,,,,,,,,,,,,,1,1,,,,,1,,,,1
WMS,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
BARBEQUE,,,1,1,1,,,,,,1,1,,1,,,,,1,,,,,,,
ADRS-R-A,,,,,,,,,,,,1,1,,,,,,,,,,,,,
JSNV,1,,1,1,,,,,,,1,,,,1,,,,1,1,,,,,,
PRECAM,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
FILATFAS,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
HUVR,,,,1,,,,,,,1,,,,,,1,,1,,,,,,,
DMART,1,,1,,1,,,,1,,1,1,1,1,,,,,1,,,,,,,
6381,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
VBL,,,1,1,,,,,,,1,1,1,,,,1,,1,1,,,,,,
GCPL,,,,,,,,,,,,,,,,1,1,,,,,1,,,,1
ASBE,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
TATACONS,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,,,,1,,,,,,,1,,,,,,1,,1,,,,,,,
UNITDSPR,,,,,,,,,,,,,,,,,,,,,,,,,,
CLGT,,,,1,,,,,,,1,,,,,,1,,1,,,,,,,
PG,,,1,1,,,,,,,,,,,,,1,,,,1,,,,,
PATANJAL,1,,1,1,,,,,,,1,,,,1,,,,1,1,,,,,,
DUBA,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
AWLTD,1,,1,1,,,,,,,1,,,,1,,,,1,1,,,,,,
