company_ticker,isin,company_name,sector,industry,industry_code,industry_description
BHARTI,INE397D01024,Bharti Airtel Ltd,Technology & Communications,Telecommunication Services,TC-TL,"Telecommunication Services industry entities provide a range of services from wireless and wireline telecommunications to cable and satellite services. The wireless services segment provides direct communication through radio-based cellular networks and operates and maintains the associated switching and transmission facilities. The wireline segment provides local and long-distance voice communication via the Public Switched Telephone Network. Wireline carriers also offer voice over internet protocol (VoIP) telephone, television and broadband internet services over an expanding network of fibre optic cables. Cable providers distribute television programming from cable networks to subscribers. They typically also provide consumers with video services, high-speed internet service and VoIP. Traditionally, these services are bundled into packages that charge subscribers a single payment. Satellite entities distribute TV programming through broadcasting satellites orbiting the earth or through ground stations. Entities serve customers primarily in their domestic markets, although some entities operate in more than one country."
ZOMATO,INE758T01015,Zomato Ltd,Technology & Communications,Internet Media & Services,TC-IM,"The Internet Media & Services industry consists of two main segments. Entities in the Internet Media segment provide search engines and internet advertising channels, online gaming, and online communities such as social networks, as well as content, which is usually easily searchable, such as educational, medical, health, sports or news content. Entities in the internet-based Services segment sell services mainly through the internet. The industry generates revenue primarily from online advertising, usually on free content, with other revenue sources being subscription fees, content sales or the sale of user information to third parties."
INFOE,INE663F01024,Info Edge India Ltd,Technology & Communications,Internet Media & Services,TC-IM,"The Internet Media & Services industry consists of two main segments. Entities in the Internet Media segment provide search engines and internet advertising channels, online gaming, and online communities such as social networks, as well as content, which is usually easily searchable, such as educational, medical, health, sports or news content. Entities in the internet-based Services segment sell services mainly through the internet. The industry generates revenue primarily from online advertising, usually on free content, with other revenue sources being subscription fees, content sales or the sale of user information to third parties."
AGS,DE0005038509,Allgemeine Gold - und Silberscheideanstalt AG,Extractives & Minerals Processing,Metals & Mining,EM-MM,"The Metals & Mining industry is involved in extracting metals and minerals, producing ores, quarrying stones, smelting and manufacturing metals, refining metals, and providing mining support activities. Entities also produce iron ores, rare earth metals, and precious metals and stones. Larger entities in this industry are integrated vertically – from mining across global operations to wholesaling metals to customers."
8071,TW0008071002,Abico NetCom Co Ltd,Technology & Communications,Hardware,TC-HW,"Hardware industry entities design and sell technology hardware products, including computers, consumer electronics, communications equipment, storage devices, components and peripherals. Many entities in the industry rely heavily upon the Electronic Manufacturing Services & Original Design Manufacturing (EMS & ODM) industry for manufacturing services. The industry is expected to continue to grow as technology use rapidly increases, especially among emerging market consumers."
SUNTV,INE424H01027,Sun TV Network Ltd,Services,Media & Entertainment,SV-ME,"Media and entertainment entities create content and/or acquire rights to distribute content over cable or broadcast media, including entertainment programs, news, music, and children’s programming. Entities in this industry also publish books, newspapers, and periodicals, and broadcast radio and local television programming."
AFFLE,INE00WC01019,Affle India Ltd,Services,Advertising & Marketing,SV-AD,"The Advertising and Marketing industry is comprised of entities that create advertising campaigns for use in media, display, or direct mail advertising and related services including market research. Advertising and marketing entities are engaged primarily by businesses selling consumer products, entertainment, financial services, technology products, and telecommunication services. Larger advertising entities are structured as holding entities, owning multiple agencies across the globe that provide a wide range of services such as custom publishing, brand consultancy, mobile and online marketing, and public relations. For any advertising campaign, the same entity may be engaged in all aspects, from graphic arts and content creation to data analytics, marketing research, and media planning and buying, or the entity may be in charge only of certain aspects."
TTLS,INE517B01013,Tata Teleservices Maharashtra Ltd,Technology & Communications,Telecommunication Services,TC-TL,"Telecommunication Services industry entities provide a range of services from wireless and wireline telecommunications to cable and satellite services. The wireless services segment provides direct communication through radio-based cellular networks and operates and maintains the associated switching and transmission facilities. The wireline segment provides local and long-distance voice communication via the Public Switched Telephone Network. Wireline carriers also offer voice over internet protocol (VoIP) telephone, television and broadband internet services over an expanding network of fibre optic cables. Cable providers distribute television programming from cable networks to subscribers. They typically also provide consumers with video services, high-speed internet service and VoIP. Traditionally, these services are bundled into packages that charge subscribers a single payment. Satellite entities distribute TV programming through broadcasting satellites orbiting the earth or through ground stations. Entities serve customers primarily in their domestic markets, although some entities operate in more than one country."
Z,INE256A01028,Zee Entertainment Enterprises Ltd,Services,Media & Entertainment,SV-ME,"Media and entertainment entities create content and/or acquire rights to distribute content over cable or broadcast media, including entertainment programs, news, music, and children’s programming. Entities in this industry also publish books, newspapers, and periodicals, and broadcast radio and local television programming."
RAILTEL,INE0DD101019,Railtel Corp of India Ltd,Technology & Communications,Telecommunication Services,TC-TL,"Telecommunication Services industry entities provide a range of services from wireless and wireline telecommunications to cable and satellite services. The wireless services segment provides direct communication through radio-based cellular networks and operates and maintains the associated switching and transmission facilities. The wireline segment provides local and long-distance voice communication via the Public Switched Telephone Network. Wireline carriers also offer voice over internet protocol (VoIP) telephone, television and broadband internet services over an expanding network of fibre optic cables. Cable providers distribute television programming from cable networks to subscribers. They typically also provide consumers with video services, high-speed internet service and VoIP. Traditionally, these services are bundled into packages that charge subscribers a single payment. Satellite entities distribute TV programming through broadcasting satellites orbiting the earth or through ground stations. Entities serve customers primarily in their domestic markets, although some entities operate in more than one country."
NSG,SG1CE0000004,New Silkroutes Group Ltd,Consumer Goods,Multiline and Specialty Retailers & Distributors,CG-MR,"The Multiline and Specialty Retailers & Distributors industry encompasses a variety of retailing categories such as department stores, mass merchants, home products stores and warehouse clubs, as well as a smaller segment of distributors like electronics wholesalers and automotive wholesalers. These entities (except for the distribution segment) commonly manage global supply chains to anticipate consumer demands, keep costs low and keep products stocked in their brick-and-mortar storefronts. This is a highly competitive industry in which each category generally has a small number of important players characterised by generally low margins. The relatively substitutable nature of retail makes entities in this industry especially susceptible to reputational risks."
251270,KR7251270005,Netmarble Corp,Technology & Communications,Software & IT Services,TC-SI,"The Software & Information Technology (IT) Services industry offers products and services globally to retail, business and government customers, and includes entities that develop and sell applications software, infrastructure software and middleware. The industry generally is competitive but with dominant players in some segments. Although relatively immature, the industry is characterised by high-growth entities that place a heavy emphasis on innovation and depend on human and intellectual capital. The industry also includes IT services entities delivering specialised IT functions, such as consulting and outsourced services. New industry business models include cloud computing, software as a service, virtualisation, machine-to-machine communication, big data analysis and machine learning. Additionally, brand value is important for entities in the industry to scale and achieve network effects, whereby wide adoption of a particular software product may result in self-perpetuating growth in sales."
ALAMAR,SA15JHPITV18,Alamar Foods,Food & Beverage,Restaurants,FB-RN,"Entities in the Restaurants industry prepare meals, snacks and beverages to customers’ orders for immediate on- and off-premises consumption. Broadly divided into three sub-categories, the restaurant industry includes limited-service eating places, casual full-service eating places and upscale full-service eating places. Limited-service restaurants provide services to customers who order and pay before eating. Fast-food restaurants represent the largest share of the limited-service restaurants segment. Full-service restaurants offer more service, food for consumption primarily on-premises, and typically reflect higher quality food and prices."
EASEMYTR,INE07O001018,Easy Trip Planners Ltd,Technology & Communications,Internet Media & Services,TC-IM,"The Internet Media & Services industry consists of two main segments. Entities in the Internet Media segment provide search engines and internet advertising channels, online gaming, and online communities such as social networks, as well as content, which is usually easily searchable, such as educational, medical, health, sports or news content. Entities in the internet-based Services segment sell services mainly through the internet. The industry generates revenue primarily from online advertising, usually on free content, with other revenue sources being subscription fees, content sales or the sale of user information to third parties."
JUST,GB00BYX60J11,JLG Group PLC,Financials,Consumer Finance,FN-CF,"The Consumer Finance industry provides loans to consumers. The largest segment of the industry is comprised of revolving credit loans through credit card products. Additional loan services include auto, micro lending, and student loans. Some entities in the industry also provide consumer-to-consumer money transfers, money orders, prepaid debit cards, and bill payment services. Industry performance is determined by consumer spending, rates of unemployment, per capita GDP, income, and population growth. Recent shifts toward consumer protection and transparency have aligned and will continue to align the interests of society with those of long-term investors. Entities that effectively manage their social capital will therefore be better positioned to maximise their financial capital."
